Words,Features,# of words in apple,# of unique words in all documents,Condition prob of given word in apple
apple,810,5206,2844,0.100745342
crack,4,5206,2844,0.000621118
ad,4,5206,2844,0.000621118
carrier,1,5206,2844,0.000248447
support,14,5206,2844,0.001863354
announc,4,5206,2844,0.000621118
hilariou,1,5206,2844,0.000248447
video,12,5206,2844,0.001614907
duet,1,5206,2844,0.000248447
pretty,8,5206,2844,0.001118012
much,14,5206,2844,0.001863354
sum,1,5206,2844,0.000248447
love,23,5206,2844,0.002981366
affair,1,5206,2844,0.000248447
made,13,5206,2844,0.00173913
easy,4,5206,2844,0.000621118
switch,3,5206,2844,0.000496894
realize,3,5206,2844,0.000496894
reason,1,5206,2844,0.000248447
twitter,21,5206,2844,0.002732919
thank,45,5206,2844,0.005714286
current,1,5206,2844,0.000248447
blackberry,16,5206,2844,0.002111801
user,11,5206,2844,0.001490683
little,7,5206,2844,0.000993789
disappoint,7,5206,2844,0.000993789
move,6,5206,2844,0.000869565
android,8,5206,2844,0.001118012
strangest,1,5206,2844,0.000248447
thing,13,5206,2844,0.00173913
said,6,5206,2844,0.000869565
glad,7,5206,2844,0.000993789
gave,2,5206,2844,0.000372671
sense,1,5206,2844,0.000248447
humor,1,5206,2844,0.000248447
great,34,5206,2844,0.004347826
close,4,5206,2844,0.000621118
personal,1,5206,2844,0.000248447
event,3,5206,2844,0.000496894
tonight,2,5206,2844,0.000372671
regent,2,5206,2844,0.000372671
store,64,5206,2844,0.008074534
compani,3,5206,2844,0.000496894
experience,5,5206,2844,0.000745342
best,11,5206,2844,0.001490683
customer,22,5206,2844,0.002857143
service,26,5206,2844,0.003354037
aside,1,5206,2844,0.000248447
apply,1,5206,2844,0.000248447
hope,6,5206,2844,0.000869565
call,18,5206,2844,0.002360248
think,15,5206,2844,0.001987578
magical,3,5206,2844,0.000496894
dy,3,5206,2844,0.000496894
suggest,3,5206,2844,0.000496894
find,7,5206,2844,0.000993789
whore,2,5206,2844,0.000372671
hide,2,5206,2844,0.000372671
body,1,5206,2844,0.000248447
register,2,5206,2844,0.000372671
developer,2,5206,2844,0.000372671
actually,7,5206,2844,0.000993789
help,10,5206,2844,0.00136646
greatly,2,5206,2844,0.000372671
appreciate,2,5206,2844,0.000372671
deal,5,5206,2844,0.000745342
first,18,5206,2844,0.002360248
model,4,5206,2844,0.000621118
offer,2,5206,2844,0.000372671
refurbish,1,5206,2844,0.000248447
come,12,5206,2844,0.001614907
dark,3,5206,2844,0.000496894
side,2,5206,2844,0.000372671
send,17,5206,2844,0.002236025
free,7,5206,2844,0.000993789
publicly,4,5206,2844,0.000621118
ceremoniously,2,5206,2844,0.000372671
burn,2,5206,2844,0.000372671
version,3,5206,2844,0.000496894
