"Words","Features"
"apple","28"
"crack","0"
"ad","2"
"carrier","9"
"support","3"
"announc","6"
"hilariou","0"
"video","26"
"duet","0"
"pretty","5"
"much","8"
"sum","0"
"love","14"
"affair","0"
"made","3"
"easy","0"
"switch","1"
"realize","0"
"reason","3"
"twitter","21"
"thank","12"
"current","2"
"blackberry","0"
"user","28"
"little","2"
"disappoint","0"
"move","3"
"android","431"
"strangest","0"
"thing","9"
"said","1"
"glad","1"
"gave","0"
"sense","1"
"humor","2"
"great","14"
"close","0"
"personal","1"
"event","9"
"tonight","4"
"regent","0"
"store","1"
"compani","1"
"experience","3"
"best","6"
"customer","2"
"service","6"
"aside","0"
"apply","0"
"hope","2"
"call","20"
"think","16"
"magical","0"
"dy","0"
"suggest","2"
"find","7"
"whore","1"
"hide","1"
"body","0"
"register","3"
"developer","2"
"actually","2"
"help","4"
"greatly","1"
"appreciate","1"
"deal","3"
"first","9"
"model","1"
"offer","7"
"refurbish","0"
"come","9"
"dark","0"
"side","0"
"send","3"
"free","6"
"publicly","0"
"ceremoniously","0"
"burn","1"
"version","7"
"locate","1"
"wipe","0"
"stolen","0"
"garden","0"
"replac","0"
"lunch","0"
"break","3"
"today","7"
"warranty","0"
"replace","2"
"bound","0"
"playbook","0"
"team","3"
"amaz","5"
"featur","0"
"education","0"
"sweet","2"
"want","21"
"done","7"
"right","7"
"useless","0"
"day","4"
"unexpect","0"
"workshop","0"
"Yesterday","0"
"awesome","10"
"amount","1"
"info","7"
"question","3"
"people","10"
"bitch","3"
"smartest","0"
"phone","59"
"ever","5"
"happy","0"
"point","3"
"mentor","0"
"triple","2"
"umber","0"
"well","8"
"mobile","17"
"device","14"
"talk","6"
"desktop","1"
"coach","1"
"bring","1"
"wish","0"
"sell","1"
"million","4"
"unit","0"
"weekend","0"
"job","2"
"brilliance","0"
"live","18"
"apologize","0"
"download","2"
"prove","0"
"popular","0"
"look","42"
"argument","1"
"incredible","0"
"better","8"
"save","1"
"unwant","1"
"seen","5"
"light","1"
"fix","0"
"battery","1"
"drain","0"
"problem","2"
"replacement","0"
"work","22"
"like","28"
"champ","0"
"currently","0"
"order","1"
"brand","3"
"Year","3"
"miss","2"
"time","26"
"bless","0"
"know","15"
"brother","0"
"girlfriend","0"
"least","2"
"wait","10"
"music","8"
"glass","0"
"debut","2"
"technology","5"
"unreal","0"
"update","25"
"another","3"
"mention","3"
"get","7"
"forward","3"
"stick","1"
"longer","0"
"pay","2"
"text","2"
"hate","3"
"computer","0"
"need","12"
"mack","0"
"flawless","0"
"cloud","6"
"totally","2"
"email","6"
"company","3"
"alway","3"
"upgrade","4"
"nice","13"
"tech","11"
"mall","0"
"faster","2"
"even","5"
"though","4"
"hubby","0"
"geek","0"
"make","19"
"thankful","0"
"go","5"
"beyond","3"
"sick","2"
"play","5"
"camera","13"
"Yeah","3"
"chang","2"
"life","3"
"safari","0"
"reader","0"
"own","0"
"worldwide","1"
"case","0"
"hand","6"
"walk","0"
"laid","0"
"next","8"
"last","2"
"us","12"
"disruption","0"
"lost","0"
"gig","0"
"keep","3"
"Yessss","0"
"especially","1"
"slide","0"
"screen","9"
"good","20"
"second","0"
"madness","0"
"invest","1"
"gear","0"
"sent","0"
"grandma","0"
"post","12"
"card","3"
"sorry","3"
"put","5"
"wash","0"
"kind","0"
"equivalent","0"
"blend","0"
"hear","1"
"still","6"
"alive","1"
"launder","0"
"finest","0"
"moment","1"
"dry","0"
"organic","0"
"rice","0"
"boot","0"
"system","6"
"smash","0"
"lock","2"
"open","1"
"unlock","15"
"word","4"
"sale","3"
"four","3"
"easter","0"
"egg","0"
"pull","0"
"middle","0"
"bottom","0"
"feature","31"
"simply","4"
"must","2"
"admit","1"
"camper","0"
"tone","0"
"ring","0"
"drake","0"
"receiv","0"
"ipod","0"
"wife","1"
"upgrad","0"
"alone","0"
"worth","2"
"continu","0"
"enhance","0"
"honor","0"
"truly","0"
"loss","1"
"geniu","0"
"notifi","1"
"arriv","1"
"local","1"
"office","2"
"deliver","0"
"sunday","0"
"magic","0"
"meet","2"
"butler","0"
"click","4"
"link","6"
"never","1"
"feel","3"
"worst","0"
"speaker","1"
"spoil","0"
"luck","0"
"surviv","0"
"addict","1"
"welcome","2"
"club","0"
"innovation","0"
"exhibit","0"
"instead","0"
"watch","10"
"game","10"
"sport","0"
"hiss","0"
"berry","0"
"power","9"
"guy","4"
"witchcraft","0"
"lead","3"
"notification","3"
"search","36"
"cover","2"
"mail","0"
"wifi","0"
"sync","2"
"backup","0"
"integrate","2"
"jame","0"
"stewart","0"
"story","2"
"importance","0"
