"Words","Features"
"apple","23"
"crack","0"
"ad","1"
"carrier","8"
"support","3"
"announc","4"
"hilariou","0"
"video","20"
"duet","0"
"pretty","3"
"much","8"
"sum","0"
"love","10"
"affair","0"
"made","3"
"easy","0"
"switch","1"
"realize","0"
"reason","3"
"twitter","18"
"thank","5"
"current","2"
"blackberry","0"
"user","24"
"little","2"
"disappoint","0"
"move","2"
"android","324"
"strangest","0"
"thing","9"
"said","1"
"glad","1"
"gave","0"
"sense","0"
"humor","0"
"great","8"
"close","0"
"personal","1"
"event","5"
"tonight","4"
"regent","0"
"store","1"
"compani","0"
"experience","3"
"best","6"
"customer","2"
"service","5"
"aside","0"
"apply","0"
"hope","1"
"call","7"
"think","13"
"magical","0"
"dy","0"
"suggest","2"
"find","6"
"whore","1"
"hide","0"
"body","0"
"register","2"
"developer","2"
"actually","2"
"help","4"
"greatly","1"
"appreciate","0"
"deal","3"
"first","8"
"model","0"
"offer","4"
"refurbish","0"
"come","7"
"dark","0"
"side","0"
"send","3"
"free","2"
"publicly","0"
"ceremoniously","0"
"burn","1"
"version","5"
"locate","1"
"wipe","0"
"stolen","0"
"garden","0"
"replac","0"
"lunch","0"
"break","2"
"today","7"
"warranty","0"
"replace","2"
"bound","0"
"playbook","0"
"team","2"
"amaz","5"
"featur","0"
"education","0"
"sweet","1"
"want","18"
"done","5"
"right","4"
"useless","0"
"day","3"
"unexpect","0"
"workshop","0"
"Yesterday","0"
"awesome","9"
"amount","0"
"info","7"
"question","3"
"people","8"
"bitch","2"
"smartest","0"
"phone","48"
"ever","3"
"happy","0"
"point","1"
"mentor","0"
"triple","0"
"umber","0"
"well","3"
"mobile","11"
"device","12"
"talk","4"
"desktop","0"
"coach","0"
"bring","1"
"wish","0"
"sell","0"
"million","2"
"unit","0"
"weekend","0"
"job","1"
"brilliance","0"
"live","15"
"apologize","0"
"download","2"
"prove","0"
"popular","0"
"look","41"
"argument","1"
"incredible","0"
"better","7"
"save","1"
"unwant","0"
"seen","5"
"light","0"
"fix","0"
"battery","1"
"drain","0"
"problem","2"
"replacement","0"
"work","20"
"like","24"
"champ","0"
"currently","0"
"order","1"
"brand","2"
"Year","2"
"miss","2"
"time","17"
"bless","0"
"know","12"
"brother","0"
"girlfriend","0"
"least","1"
"wait","10"
"music","8"
"glass","0"
"debut","2"
"technology","4"
"unreal","0"
"update","21"
"another","1"
"mention","2"
"get","7"
"forward","2"
"stick","1"
"longer","0"
"pay","2"
"text","2"
"hate","3"
"computer","0"
"need","12"
"mack","0"
"flawless","0"
"cloud","6"
"totally","2"
"email","3"
"company","3"
"alway","3"
"upgrade","4"
"nice","13"
"tech","7"
"mall","0"
"faster","2"
"even","5"
"though","2"
"hubby","0"
"geek","0"
"make","17"
"thankful","0"
"go","3"
"beyond","3"
"sick","2"
"play","3"
"camera","10"
"Yeah","1"
"chang","1"
"life","2"
"safari","0"
"reader","0"
"own","0"
"worldwide","0"
"case","0"
"hand","6"
"walk","0"
"laid","0"
"next","8"
"last","1"
"us","10"
"disruption","0"
"lost","0"
"gig","0"
"keep","2"
"Yessss","0"
"especially","1"
"slide","0"
"screen","8"
"good","15"
"second","0"
"madness","0"
"invest","1"
"gear","0"
"sent","0"
"grandma","0"
"post","10"
"card","2"
"sorry","3"
"put","3"
"wash","0"
"kind","0"
"equivalent","0"
"blend","0"
"hear","0"
"still","4"
"alive","1"
"launder","0"
"finest","0"
"moment","1"
"dry","0"
"organic","0"
"rice","0"
"boot","0"
"system","4"
"smash","0"
"lock","1"
"open","0"
"unlock","12"
"word","1"
"sale","1"
"four","2"
"easter","0"
"egg","0"
"pull","0"
"middle","0"
"bottom","0"
"feature","26"
"simply","1"
"must","2"
"admit","1"
"camper","0"
"tone","0"
"ring","0"
"drake","0"
"receiv","0"
"ipod","0"
"wife","1"
"upgrad","0"
"alone","0"
"worth","2"
"continu","0"
"enhance","0"
"honor","0"
"truly","0"
"loss","1"
"geniu","0"
"notifi","1"
"arriv","1"
"local","1"
"office","0"
"deliver","0"
"sunday","0"
"magic","0"
"meet","1"
"butler","0"
"click","4"
"link","4"
"never","1"
"feel","3"
"worst","0"
"speaker","1"
"spoil","0"
"luck","0"
"surviv","0"
"addict","0"
"welcome","1"
"club","0"
"innovation","0"
"exhibit","0"
"instead","0"
"watch","6"
"game","9"
"sport","0"
"hiss","0"
"berry","0"
"power","9"
"guy","4"
"witchcraft","0"
"lead","0"
"notification","1"
"search","29"
"cover","2"
"mail","0"
"wifi","0"
"sync","2"
"backup","0"
"integrate","2"
"jame","0"
"stewart","0"
"story","0"
"importance","0"
"architecture","0"
"retail","1"
"success","0"
"world","0"
"impressive","0"
"metro","3"
"centre","0"
"cable","0"
"book","3"
"grati","0"
"show","6"
"hairline","0"
"happen","1"
"edge","0"
"taken","1"
"min","0"
"write","0"
"convert","0"
"grass","0"
"greener","0"
"backside","0"
"impress","3"
"space","1"
"creative","0"
"product","2"
"inspire","0"
"unbelievable","0"
"present","0"
"requir","1"
"finally","7"
"stupid","1"
"learn","3"
"lesson","0"
"absolutely","0"
"invent","1"
"parent","0"
"listen","0"
"create","2"
"folder","2"
"within","0"
"photo","3"
"album","0"
"thorn","0"
"workstation","0"
"di","0"
"month","1"
"long","0"
"hello","0"
"really","14"
"throw","1"
"trash","1"
"upload","0"
"issue","0"
"submit","0"
"idea","1"
"beta","0"
"crazy","0"
"crop","0"
"prop","0"
"employee","0"
"charge","0"
"back","2"
"plate","0"
"mouse","0"
"voice","2"
"recognition","9"
"step","3"
"previou","0"
"attempt","0"
"bravo","0"
"sprint","2"
"expect","4"
"touch","1"
"coolness","0"
"apparently","1"
"storage","1"
"tell","2"
"full","2"
"expensive","0"
"went","1"
"loyalty","0"
"kill","0"
"tune","0"
"lonely","0"
"silly","0"
"hurry","0"
"release","16"
"exchange","0"
"cord","0"
"airdrop","0"
"fail","7"
"immediate","0"
"declin","1"
"request","0"
"every","2"
"article","3"
"fuck","3"
"lion","0"
"future","2"
"complain","0"
"Yellow","1"
"tint","0"
"contact","9"
"picture","12"
"list","1"
"simple","2"
"major","2"
"ask","0"
"dream","0"
"electric","0"
"sleep","0"
"answer","1"
"opportunity","0"
"surprise","0"
"error","0"
"alert","1"
"authorize","0"
"button","2"
"evil","0"
"lord","0"
"blaze","0"
"inferno","0"
"obviously","1"
"noth","1"
"perfect","1"
"opposite","0"
"please","6"
"delete","0"
"dick","0"
"sign","4"
"seriously","2"
"of","0"
"clue","0"
"mean","0"
"authorization","0"
"harder","0"
"purchas","0"
"shit","1"
"data","9"
"media","3"
"take","9"
"rebuild","0"
"vega","1"
"give","3"
"hour","1"
"wonky","0"
"dear","3"
"destroy","0"
"productivity","0"
"lack","1"
"frustrate","0"
"ruin","0"
"turn","1"
"utterly","0"
"pile","0"
"sure","4"
"duff","0"
"almost","2"
"week","1"
"paid","0"
"match","0"
"remov","0"
"hard","1"
"suck","0"
"interest","2"
"note","4"
"removable","0"
"launch","6"
"can","0"
"jackass","0"
"shoot","0"
"shuffle","0"
"sound","1"
"quality","0"
"painfully","0"
"crap","0"
"downgrade","0"
"wise","0"
"slow","0"
"stuck","0"
"half","1"
"thankfully","0"
"damage","0"
"thorough","0"
"cost","1"
"mightily","0"
"include","1"
"song","0"
"compilation","0"
"artist","0"
"name","3"
"exclaim","0"
"whole","1"
"total","3"
"chao","0"
"street","0"
"ethiopian","0"
"feed","0"
"station","0"
"believe","0"
"cool","3"
"purchase","1"
"survey","0"
"correction","0"
"kudo","0"
"alamo","0"
"ranch","0"
"resolve","0"
"hero","0"
"stand","0"
"line","3"
"newest","0"
"sucker","0"
"braille","0"
"bump","1"
"crush","0"
"already","0"
"schedule","0"
"summer","0"
"thursday","0"
"available","16"
"appointment","0"
"allow","1"
"push","1"
"Yap","0"
"message","1"
"icon","0"
"includ","5"
"require","0"
"reservation","0"
"crappy","0"
"keyboard","2"
"around","0"
"progress","0"
"function","0"
"page","12"
"awful","0"
"interrupt","0"
"piece","1"
"dollar","1"
"charg","0"
"slowly","0"
"solve","0"
"pick","0"
"set","1"
"calendar","2"
"item","0"
"program","0"
"software","0"
"repair","0"
"proper","0"
"consolidation","0"
"stop","6"
"lose","0"
"bought","1"
"ship","1"
"enable","0"
"plan","4"
"handle","0"
"prevent","0"
"audio","0"
"operate","2"
"properly","0"
"hater","0"
"buttery","0"
"finish","1"
"fast","5"
"signal","0"
"rapidly","0"
"canon","0"
"compact","0"
"flash","0"
"goe","3"
"damn","0"
"term","0"
"condition","0"
"read","6"
"late","0"
"screw","0"
"alarm","0"
"dose","0"
"decide","1"
"freeze","0"
"wont","0"
"annoy","0"
"officially","3"
"boycot","0"
"curse","0"
"wast","0"
"seek","0"
"japan","0"
"australia","0"
"patent","1"
"intensifi","0"
"injunction","0"
"sought","0"
"dead","0"
"restore","0"
"pain","0"
"room","0"
"undo","0"
"garbage","0"
"avail","0"
"site","11"
"browser","1"
"trouble","0"
"brightness","0"
"remember","2"
"enter","0"
"market","11"
"piss","0"
"certain","0"
"worse","0"
"newton","0"
"hockey","0"
"puck","0"
"painful","0"
"invention","1"
"account","1"
"suddenly","0"
"address","1"
"someone","0"
"window","3"
"compatible","0"
"care","3"
"restor","0"
"restriction","0"
"none","0"
"seemingly","0"
"endless","0"
"loop","0"
"investigate","0"
"terrible","2"
"apology","0"
"busy","0"
"stylu","0"
"forever","0"
"outside","1"
"daughter","0"
"drive","1"
"nut","1"
"blame","0"
"honest","0"
"complete","1"
"poor","0"
"slip","0"
"except","0"
"cute","0"
"eyelash","0"
"bat","0"
"shag","0"
"snatch","0"
"dependent","0"
"network","2"
"connection","0"
"utter","0"
"frustration","0"
"amus","0"
"seem","0"
"render","0"
"machine","0"
"incapable","0"
"zero","2"
"useful","1"
"commit","0"
"rain","0"
"soon","4"
"share","11"
"reminder","0"
"also","4"
"webpage","0"
"modify","1"
"crashe","0"
"congratulation","1"
"incompatible","0"
"vertical","0"
"mission","2"
"control","2"
"horizontal","0"
"business","6"
"nauseou","0"
"explain","0"
"distribut","0"
"succee","0"
"early","0"
"file","2"
"disappear","1"
"hurt","0"
"li","1"
"definitely","0"
"check","5"
"usage","7"
"huge","1"
"podcast","0"
"drop","0"
"ball","0"
"perhap","0"
"star","0"
"war","0"
"brain","0"
"password","0"
"protect","0"
"quickly","0"
"see","0"
"bar","0"
"return","0"
"anyway","2"
"start","2"
"knew","0"
"pink","1"
"hold","0"
"hindi","0"
"cheer","0"
"indian","0"
"language","0"
"warn","0"
"spontaneously","0"
"loose","0"
"might","2"
"fault","0"
"hopefully","1"
"figure","0"
"copy","3"
"hell","2"
"unhappy","0"
"change","5"
"input","0"
"number","2"
"handl","0"
"blue","0"
"minute","0"
"dupe","0"
"disappointment","0"
"inventor","0"
"excit","5"
"tragic","0"
"impression","0"
"dissent","0"
"multiple","1"
"connect","0"
"server","0"
"exercise","0"
"rename","0"
"bottleneck","0"
"chance","0"
"headphone","0"
"blast","0"
"ear","0"
"quite","1"
"obnoxiou","0"
"cloudy","0"
"techy","0"
"process","1"
"command","0"
"design","4"
"appropriately","0"
"project","3"
"resource","0"
"reliable","0"
"spoke","0"
"blare","0"
"direct","1"
"wrong","4"
"suspect","0"
"perfectly","0"
"ail","0"
"stink","0"
"inform","0"
"migrate","0"
"many","1"
"complaint","0"
"image","1"
"rape","0"
"small","1"
"realise","0"
"base","1"
"petty","0"
"original","0"
"location","3"
"domain","0"
"empty","0"
"skin","0"
"represent","0"
"tear","0"
"thunderbolt","0"
"try","0"
"throat","0"
"slower","0"
"nexu","166"
"force","0"
"stuff","1"
"upset","0"
"inconvenienc","0"
"finance","0"
"greedy","0"
"bastard","1"
"santa","0"
"jolly","0"
"white","1"
"spend","0"
"recover","0"
"immobile","0"
"ponder","0"
"difficulti","0"
"serv","0"
"sydney","0"
"train","1"
"extend","0"
"clock","0"
"tire","0"
"figur","0"
"test","1"
"frozen","0"
"perpetual","0"
"run","1"
"dodgy","0"
"hire","1"
"staff","0"
"took","1"
"told","1"
"needless","0"
"hotel","0"
"relax","0"
"overall","0"
"however","2"
"home","1"
"online","5"
"surely","0"
"cause","1"
"dilation","0"
"suburb","0"
"pin","0"
"state","0"
"clarence","0"
"thoma","0"
"toss","0"
"decade","0"
"workflow","0"
"standard","1"
"receipt","0"
"print","0"
"playlist","0"
"bummer","0"
"Yahoo","4"
"fantasy","0"
"football","0"
"crash","2"
"nansen","0"
"clean","1"
"duplicate","0"
"magically","0"
"reappear","0"
"key","0"
"often","1"
"mine","0"
"gone","2"
"sister","0"
"family","0"
"sloppy","0"
"known","0"
"protection","0"
"laptop","0"
"cancer","0"
"maybe","4"
"wireless","1"
"worri","0"
"say","1"
"toledo","0"
"equipment","0"
"broke","0"
"guess","1"
"tri","1"
"anymore","0"
"durable","0"
"able","0"
"newsstand","0"
"serve","0"
"purpose","0"
"easier","0"
"fruit","0"
"compar","0"
"google","655"
"crowd","0"
"agree","2"
"meant","0"
"buy","1"
"internet","2"
"confus","1"
"consider","3"
"plu","1"
"stable","0"
"reach","0"
"use","0"
"completely","1"
"warm","0"
"sometime","0"
"wall","0"
"remind","0"
"rest","0"
"brick","0"
"install","0"
"former","0"
"owner","0"
"baby","1"
"delet","0"
"tiger","0"
"wood","0"
"impossible","0"
"retrieve","0"
"overbear","0"
"polici","0"
"disaster","0"
"su","0"
"insurance","0"
"manag","0"
"beautiful","3"
"one","0"
"arrogant","0"
"inept","0"
"combo","0"
"fade","0"
"black","0"
"begin","5"
"vibrate","0"
"continuously","0"
"reboot","0"
"lame","0"
"roll","2"
"equal","0"
"credit","0"
"redeem","0"
"fair","0"
"less","1"
"improve","0"
"monday","0"
"access","0"
"premise","0"
"outlook","0"
"thunderbird","0"
"chrome","5"
"visual","0"
"merchandis","0"
"elegance","0"
"sequence","0"
"terminal","0"
"person","2"
"nonstop","0"
"mute","0"
"randomly","0"
"activate","0"
"cant","1"
"occur","0"
"folk","1"
"cut","0"
"manage","3"
"subscription","0"
"solution","0"
"promis","2"
"similar","0"
"bell","0"
"monopolistic","0"
"forget","1"
"bloody","0"
"stump","0"
"catastrophically","0"
"canada","0"
"direction","0"
"exclusive","0"
"john","0"
"jean","0"
"french","0"
"report","4"
"theft","0"
"bode","0"
"night","0"
"charger","0"
"houston","1"
"together","2"
"ford","0"
"focu","1"
"movi","0"
"jihad","0"
"adobe","1"
"record","1"
"quarter","0"
"bunch","0"
"professional","0"
"guesser","0"
"analyst","0"
"releas","7"
"possible","0"
"latter","0"
"spec","3"
"price","2"
"takeaway","0"
"earn","0"
"stay","0"
"competitive","0"
"headline","0"
"lower","0"
"pamper","0"
"memori","0"
"expand","1"
"countri","1"
"december","0"
"coincidence","0"
"virtual","3"
"assistant","0"
"robot","0"
"result","2"
"depend","0"
"increas","0"
"revenue","4"
"recession","0"
"rather","0"
"friend","2"
"choose","2"
"profile","3"
"amazon","3"
"log","4"
"troublemaker","0"
"struggl","0"
"blow","1"
"mind","2"
"gizmo","0"
"shut","0"
"wednesday","0"
"memorial","0"
"cranial","0"
"insertion","0"
"implant","0"
"official","13"
"seven","1"
"rule","0"
"weekly","0"
"twit","1"
"Young","0"
"foolish","0"
"ownership","0"
"resilience","0"
"smell","1"
"lawsuit","0"
"morn","2"
"remote","0"
"keynote","1"
"presentation","13"
"nobody","0"
"pith","0"
"navigate","0"
"voicemail","0"
"sincerely","0"
"household","0"
"mini","0"
"airport","0"
"usable","0"
"shari","0"
"explor","0"
"speak","0"
"symbol","0"
"relate","1"
"nostalgia","0"
"contract","0"
"factory","0"
"holder","0"
"spot","2"
"setup","0"
"nike","0"
"dedicate","0"
"memory","0"
"brilliant","2"
"evolution","0"
"inanimate","0"
"object","0"
"notic","1"
"tweet","2"
"closet","0"
"generation","0"
"contend","0"
"utility","0"
"balk","0"
"acquisition","0"
"billion","1"
"battl","0"
"consumer","0"
"thought","6"
"unique","0"
"wonder","3"
"tablet","4"
"battle","1"
"community","0"
"unconventional","0"
"leadership","0"
"secret","0"
"entire","0"
"giant","0"
"attend","0"
"donate","0"
"pancreatic","0"
"research","0"
"plank","0"
"daily","0"
"tripl","0"
"came","1"
"duplication","0"
"import","0"
"categorize","0"
"broken","0"
"place","1"
"section","0"
"let","0"
"fine","0"
"straight","1"
"poop","0"
"sarcasm","0"
"built-in","0"
"helpful","0"
"spell","2"
"document","0"
"finger","0"
"cross","0"
"left","0"
"nugget","0"
"behind","1"
"october","0"
"weird","0"
"verge","0"
"karaoke","0"
"american","1"
"define","0"
"disagree","0"
"hungry","2"
"founder","0"
"found","3"
"sink","0"
"alto","0"
"downtown","0"
"dude","0"
"fattest","0"
"hook","0"
"memo","0"
"scrub","0"
"journalist","0"
"babi","0"
"poll","0"
"ban","0"
"buzz","3"
"trip","0"
"colleague","0"
"overboard","0"
"misread","0"
"Yelp","0"
"review","1"
"thai","0"
"financial","1"
"purely","0"
"shift","2"
"sling","0"
"spontaneou","0"
"danc","0"
"outfit","0"
"girl","0"
"part","2"
"imagine","0"
"map","2"
"graphic","2"
"website","4"
"court","0"
"style","2"
"dumb","0"
"mortar","0"
"london","0"
"fit","0"
"mirror","0"
"school","1"
"couple","1"
"kid","0"
"hardware","1"
