Words,Features,# of words in google,# of unique words in all documents,Condition prob of given word in google
apple,23,4240,2844,0.003387916
crack,0,4240,2844,0.000141163
ad,1,4240,2844,0.000282326
carrier,8,4240,2844,0.001270469
support,3,4240,2844,0.000564653
announc,4,4240,2844,0.000705816
hilariou,0,4240,2844,0.000141163
video,20,4240,2844,0.002964427
duet,0,4240,2844,0.000141163
pretty,3,4240,2844,0.000564653
much,8,4240,2844,0.001270469
sum,0,4240,2844,0.000141163
love,10,4240,2844,0.001552795
affair,0,4240,2844,0.000141163
made,3,4240,2844,0.000564653
easy,0,4240,2844,0.000141163
switch,1,4240,2844,0.000282326
realize,0,4240,2844,0.000141163
reason,3,4240,2844,0.000564653
twitter,18,4240,2844,0.002682101
thank,5,4240,2844,0.000846979
current,2,4240,2844,0.00042349
blackberry,0,4240,2844,0.000141163
user,24,4240,2844,0.00352908
little,2,4240,2844,0.00042349
disappoint,0,4240,2844,0.000141163
move,2,4240,2844,0.00042349
android,324,4240,2844,0.045878035
strangest,0,4240,2844,0.000141163
thing,9,4240,2844,0.001411632
said,1,4240,2844,0.000282326
glad,1,4240,2844,0.000282326
gave,0,4240,2844,0.000141163
sense,0,4240,2844,0.000141163
humor,0,4240,2844,0.000141163
great,8,4240,2844,0.001270469
close,0,4240,2844,0.000141163
personal,1,4240,2844,0.000282326
event,5,4240,2844,0.000846979
tonight,4,4240,2844,0.000705816
regent,0,4240,2844,0.000141163
store,1,4240,2844,0.000282326
compani,0,4240,2844,0.000141163
experience,3,4240,2844,0.000564653
best,6,4240,2844,0.000988142
customer,2,4240,2844,0.00042349
service,5,4240,2844,0.000846979
aside,0,4240,2844,0.000141163
apply,0,4240,2844,0.000141163
hope,1,4240,2844,0.000282326
call,7,4240,2844,0.001129305
think,13,4240,2844,0.001976285
magical,0,4240,2844,0.000141163
dy,0,4240,2844,0.000141163
suggest,2,4240,2844,0.00042349
find,6,4240,2844,0.000988142
whore,1,4240,2844,0.000282326
hide,0,4240,2844,0.000141163
body,0,4240,2844,0.000141163
register,2,4240,2844,0.00042349
developer,2,4240,2844,0.00042349
actually,2,4240,2844,0.00042349
help,4,4240,2844,0.000705816
greatly,1,4240,2844,0.000282326
appreciate,0,4240,2844,0.000141163
deal,3,4240,2844,0.000564653
first,8,4240,2844,0.001270469
model,0,4240,2844,0.000141163
offer,4,4240,2844,0.000705816
refurbish,0,4240,2844,0.000141163
come,7,4240,2844,0.001129305
dark,0,4240,2844,0.000141163
side,0,4240,2844,0.000141163
send,3,4240,2844,0.000564653
free,2,4240,2844,0.00042349
publicly,0,4240,2844,0.000141163
ceremoniously,0,4240,2844,0.000141163
burn,1,4240,2844,0.000282326
version,5,4240,2844,0.000846979
locate,1,4240,2844,0.000282326
wipe,0,4240,2844,0.000141163
stolen,0,4240,2844,0.000141163
garden,0,4240,2844,0.000141163
replac,0,4240,2844,0.000141163
