"Words","Features"
"apple","27"
"crack","0"
"ad","0"
"carrier","0"
"support","5"
"announc","0"
"hilariou","0"
"video","8"
"duet","0"
"pretty","1"
"much","4"
"sum","0"
"love","9"
"affair","0"
"made","4"
"easy","0"
"switch","0"
"realize","0"
"reason","0"
"twitter","2"
"thank","14"
"current","1"
"blackberry","0"
"user","17"
"little","1"
"disappoint","2"
"move","6"
"android","45"
"strangest","0"
"thing","3"
"said","1"
"glad","3"
"gave","2"
"sense","1"
"humor","0"
"great","12"
"close","0"
"personal","4"
"event","2"
"tonight","1"
"regent","0"
"store","13"
"compani","2"
"experience","1"
"best","3"
"customer","5"
"service","12"
"aside","0"
"apply","4"
"hope","2"
"call","8"
"think","3"
"magical","0"
"dy","0"
"suggest","1"
"find","2"
"whore","0"
"hide","0"
"body","6"
"register","6"
"developer","10"
"actually","1"
"help","4"
"greatly","0"
"appreciate","1"
"deal","10"
"first","2"
"model","1"
"offer","7"
"refurbish","0"
"come","9"
"dark","0"
"side","0"
"send","2"
"free","15"
"publicly","1"
"ceremoniously","0"
"burn","0"
"version","7"
"locate","0"
"wipe","0"
"stolen","0"
"garden","0"
"replac","0"
"lunch","1"
"break","0"
"today","4"
"warranty","0"
"replace","0"
"bound","0"
"playbook","0"
"team","1"
"amaz","1"
"featur","3"
"education","3"
"sweet","0"
"want","15"
"done","2"
"right","3"
"useless","0"
"day","1"
"unexpect","0"
"workshop","1"
"Yesterday","0"
"awesome","2"
"amount","0"
"info","4"
"question","1"
"people","7"
"bitch","0"
"smartest","0"
"phone","44"
"ever","5"
"happy","0"
"point","1"
"mentor","0"
"triple","0"
"umber","0"
"well","2"
"mobile","12"
"device","8"
"talk","8"
"desktop","0"
"coach","0"
"bring","8"
"wish","1"
"sell","1"
"million","1"
"unit","0"
"weekend","0"
"job","5"
"brilliance","0"
"live","17"
"apologize","0"
"download","3"
"prove","7"
"popular","0"
"look","14"
"argument","0"
"incredible","0"
"better","4"
"save","1"
"unwant","0"
"seen","1"
"light","0"
"fix","3"
"battery","1"
"drain","0"
"problem","0"
"replacement","0"
"work","14"
"like","16"
"champ","0"
"currently","1"
"order","0"
"brand","2"
"Year","9"
"miss","1"
"time","12"
"bless","0"
"know","9"
"brother","0"
"girlfriend","0"
"least","0"
"wait","5"
"music","0"
"glass","0"
"debut","1"
"technology","10"
"unreal","0"
"update","12"
"another","5"
"mention","1"
"get","6"
"forward","0"
"stick","0"
"longer","0"
"pay","2"
"text","0"
"hate","5"
"computer","14"
"need","12"
"mack","0"
"flawless","0"
"cloud","33"
"totally","0"
"email","3"
"company","2"
"alway","0"
"upgrade","3"
"nice","1"
"tech","21"
"mall","0"
"faster","0"
"even","4"
"though","5"
"hubby","1"
"geek","4"
"make","15"
"thankful","0"
"go","3"
"beyond","0"
"sick","0"
"play","6"
"camera","1"
"Yeah","3"
"chang","0"
"life","1"
"safari","0"
"reader","1"
"own","1"
"worldwide","0"
"case","3"
"hand","11"
"walk","1"
"laid","0"
"next","6"
"last","2"
"us","11"
"disruption","0"
"lost","1"
"gig","0"
"keep","5"
"Yessss","0"
"especially","0"
"slide","0"
"screen","10"
"good","14"
"second","0"
"madness","0"
"invest","0"
"gear","0"
"sent","0"
"grandma","0"
"post","6"
"card","3"
"sorry","1"
"put","0"
"wash","0"
"kind","1"
"equivalent","0"
"blend","0"
"hear","3"
"still","10"
"alive","0"
"launder","0"
"finest","0"
"moment","1"
"dry","0"
"organic","0"
"rice","0"
"boot","2"
"system","4"
"smash","0"
"lock","0"
"open","13"
"unlock","0"
"word","6"
"sale","5"
"four","0"
"easter","0"
"egg","0"
"pull","0"
"middle","0"
"bottom","0"
"feature","1"
"simply","0"
"must","0"
"admit","1"
"camper","0"
"tone","0"
"ring","1"
"drake","0"
"receiv","1"
"ipod","0"
"wife","0"
"upgrad","1"
"alone","1"
"worth","0"
"continu","0"
"enhance","1"
"honor","0"
"truly","0"
"loss","0"
"geniu","2"
"notifi","0"
"arriv","0"
"local","2"
"office","14"
"deliver","3"
"sunday","0"
"magic","0"
"meet","2"
"butler","0"
"click","0"
"link","0"
"never","4"
"feel","5"
"worst","0"
"speaker","0"
"spoil","0"
"luck","0"
"surviv","1"
"addict","0"
"welcome","2"
"club","0"
"innovation","5"
"exhibit","0"
"instead","2"
"watch","4"
"game","2"
"sport","0"
"hiss","0"
"berry","0"
"power","3"
"guy","3"
"witchcraft","0"
"lead","0"
"notification","0"
