Words,Features,# of words in microsoft,# of unique words in all documents,Condition prob of given word in microsoft
apple,27,3242,2844,0.004600723
crack,0,3242,2844,0.000164312
ad,0,3242,2844,0.000164312
carrier,0,3242,2844,0.000164312
support,5,3242,2844,0.000985869
announc,0,3242,2844,0.000164312
hilariou,0,3242,2844,0.000164312
video,8,3242,2844,0.001478804
duet,0,3242,2844,0.000164312
pretty,1,3242,2844,0.000328623
much,4,3242,2844,0.000821558
sum,0,3242,2844,0.000164312
love,9,3242,2844,0.001643115
affair,0,3242,2844,0.000164312
made,4,3242,2844,0.000821558
easy,0,3242,2844,0.000164312
switch,0,3242,2844,0.000164312
realize,0,3242,2844,0.000164312
reason,0,3242,2844,0.000164312
twitter,2,3242,2844,0.000492935
thank,14,3242,2844,0.002464673
current,1,3242,2844,0.000328623
blackberry,0,3242,2844,0.000164312
user,17,3242,2844,0.002957608
little,1,3242,2844,0.000328623
disappoint,2,3242,2844,0.000492935
move,6,3242,2844,0.001150181
android,45,3242,2844,0.007558331
strangest,0,3242,2844,0.000164312
thing,3,3242,2844,0.000657246
said,1,3242,2844,0.000328623
glad,3,3242,2844,0.000657246
gave,2,3242,2844,0.000492935
sense,1,3242,2844,0.000328623
humor,0,3242,2844,0.000164312
great,12,3242,2844,0.00213605
close,0,3242,2844,0.000164312
personal,4,3242,2844,0.000821558
event,2,3242,2844,0.000492935
tonight,1,3242,2844,0.000328623
regent,0,3242,2844,0.000164312
store,13,3242,2844,0.002300361
compani,2,3242,2844,0.000492935
experience,1,3242,2844,0.000328623
best,3,3242,2844,0.000657246
customer,5,3242,2844,0.000985869
service,12,3242,2844,0.00213605
aside,0,3242,2844,0.000164312
apply,4,3242,2844,0.000821558
hope,2,3242,2844,0.000492935
call,8,3242,2844,0.001478804
think,3,3242,2844,0.000657246
magical,0,3242,2844,0.000164312
dy,0,3242,2844,0.000164312
suggest,1,3242,2844,0.000328623
find,2,3242,2844,0.000492935
whore,0,3242,2844,0.000164312
hide,0,3242,2844,0.000164312
body,6,3242,2844,0.001150181
register,6,3242,2844,0.001150181
developer,10,3242,2844,0.001807427
actually,1,3242,2844,0.000328623
help,4,3242,2844,0.000821558
greatly,0,3242,2844,0.000164312
appreciate,1,3242,2844,0.000328623
deal,10,3242,2844,0.001807427
first,2,3242,2844,0.000492935
model,1,3242,2844,0.000328623
offer,7,3242,2844,0.001314492
refurbish,0,3242,2844,0.000164312
come,9,3242,2844,0.001643115
dark,0,3242,2844,0.000164312
side,0,3242,2844,0.000164312
send,2,3242,2844,0.000492935
free,15,3242,2844,0.002628985
publicly,1,3242,2844,0.000328623
ceremoniously,0,3242,2844,0.000164312
burn,0,3242,2844,0.000164312
version,7,3242,2844,0.001314492
locate,0,3242,2844,0.000164312
wipe,0,3242,2844,0.000164312
stolen,0,3242,2844,0.000164312
garden,0,3242,2844,0.000164312
replac,0,3242,2844,0.000164312
lunch,1,3242,2844,0.000328623
break,0,3242,2844,0.000164312
today,4,3242,2844,0.000821558
warranty,0,3242,2844,0.000164312
replace,0,3242,2844,0.000164312
bound,0,3242,2844,0.000164312
playbook,0,3242,2844,0.000164312
team,1,3242,2844,0.000328623
amaz,1,3242,2844,0.000328623
featur,3,3242,2844,0.000657246
education,3,3242,2844,0.000657246
sweet,0,3242,2844,0.000164312
want,15,3242,2844,0.002628985
done,2,3242,2844,0.000492935
right,3,3242,2844,0.000657246
useless,0,3242,2844,0.000164312
day,1,3242,2844,0.000328623
unexpect,0,3242,2844,0.000164312
workshop,1,3242,2844,0.000328623
Yesterday,0,3242,2844,0.000164312
awesome,2,3242,2844,0.000492935
amount,0,3242,2844,0.000164312
info,4,3242,2844,0.000821558
question,1,3242,2844,0.000328623
people,7,3242,2844,0.001314492
bitch,0,3242,2844,0.000164312
smartest,0,3242,2844,0.000164312
phone,44,3242,2844,0.007394019
ever,5,3242,2844,0.000985869
happy,0,3242,2844,0.000164312
point,1,3242,2844,0.000328623
mentor,0,3242,2844,0.000164312
triple,0,3242,2844,0.000164312
umber,0,3242,2844,0.000164312
well,2,3242,2844,0.000492935
mobile,12,3242,2844,0.00213605
device,8,3242,2844,0.001478804
talk,8,3242,2844,0.001478804
desktop,0,3242,2844,0.000164312
coach,0,3242,2844,0.000164312
bring,8,3242,2844,0.001478804
wish,1,3242,2844,0.000328623
sell,1,3242,2844,0.000328623
million,1,3242,2844,0.000328623
unit,0,3242,2844,0.000164312
weekend,0,3242,2844,0.000164312
job,5,3242,2844,0.000985869
brilliance,0,3242,2844,0.000164312
live,17,3242,2844,0.002957608
apologize,0,3242,2844,0.000164312
download,3,3242,2844,0.000657246
prove,7,3242,2844,0.001314492
popular,0,3242,2844,0.000164312
look,14,3242,2844,0.002464673
argument,0,3242,2844,0.000164312
incredible,0,3242,2844,0.000164312
better,4,3242,2844,0.000821558
save,1,3242,2844,0.000328623
unwant,0,3242,2844,0.000164312
seen,1,3242,2844,0.000328623
light,0,3242,2844,0.000164312
fix,3,3242,2844,0.000657246
battery,1,3242,2844,0.000328623
drain,0,3242,2844,0.000164312
problem,0,3242,2844,0.000164312
replacement,0,3242,2844,0.000164312
work,14,3242,2844,0.002464673
like,16,3242,2844,0.002793296
champ,0,3242,2844,0.000164312
currently,1,3242,2844,0.000328623
order,0,3242,2844,0.000164312
brand,2,3242,2844,0.000492935
Year,9,3242,2844,0.001643115
miss,1,3242,2844,0.000328623
time,12,3242,2844,0.00213605
bless,0,3242,2844,0.000164312
know,9,3242,2844,0.001643115
brother,0,3242,2844,0.000164312
girlfriend,0,3242,2844,0.000164312
least,0,3242,2844,0.000164312
wait,5,3242,2844,0.000985869
music,0,3242,2844,0.000164312
glass,0,3242,2844,0.000164312
debut,1,3242,2844,0.000328623
technology,10,3242,2844,0.001807427
unreal,0,3242,2844,0.000164312
update,12,3242,2844,0.00213605
another,5,3242,2844,0.000985869
mention,1,3242,2844,0.000328623
get,6,3242,2844,0.001150181
forward,0,3242,2844,0.000164312
stick,0,3242,2844,0.000164312
longer,0,3242,2844,0.000164312
pay,2,3242,2844,0.000492935
text,0,3242,2844,0.000164312
hate,5,3242,2844,0.000985869
computer,14,3242,2844,0.002464673
need,12,3242,2844,0.00213605
mack,0,3242,2844,0.000164312
flawless,0,3242,2844,0.000164312
cloud,33,3242,2844,0.005586592
totally,0,3242,2844,0.000164312
email,3,3242,2844,0.000657246
company,2,3242,2844,0.000492935
alway,0,3242,2844,0.000164312
upgrade,3,3242,2844,0.000657246
nice,1,3242,2844,0.000328623
tech,21,3242,2844,0.003614854
mall,0,3242,2844,0.000164312
faster,0,3242,2844,0.000164312
even,4,3242,2844,0.000821558
though,5,3242,2844,0.000985869
hubby,1,3242,2844,0.000328623
geek,4,3242,2844,0.000821558
make,15,3242,2844,0.002628985
thankful,0,3242,2844,0.000164312
go,3,3242,2844,0.000657246
beyond,0,3242,2844,0.000164312
sick,0,3242,2844,0.000164312
play,6,3242,2844,0.001150181
camera,1,3242,2844,0.000328623
Yeah,3,3242,2844,0.000657246
chang,0,3242,2844,0.000164312
life,1,3242,2844,0.000328623
safari,0,3242,2844,0.000164312
reader,1,3242,2844,0.000328623
own,1,3242,2844,0.000328623
worldwide,0,3242,2844,0.000164312
case,3,3242,2844,0.000657246
hand,11,3242,2844,0.001971738
walk,1,3242,2844,0.000328623
laid,0,3242,2844,0.000164312
next,6,3242,2844,0.001150181
last,2,3242,2844,0.000492935
us,11,3242,2844,0.001971738
disruption,0,3242,2844,0.000164312
lost,1,3242,2844,0.000328623
gig,0,3242,2844,0.000164312
keep,5,3242,2844,0.000985869
Yessss,0,3242,2844,0.000164312
especially,0,3242,2844,0.000164312
slide,0,3242,2844,0.000164312
screen,10,3242,2844,0.001807427
good,14,3242,2844,0.002464673
second,0,3242,2844,0.000164312
madness,0,3242,2844,0.000164312
invest,0,3242,2844,0.000164312
gear,0,3242,2844,0.000164312
sent,0,3242,2844,0.000164312
grandma,0,3242,2844,0.000164312
post,6,3242,2844,0.001150181
card,3,3242,2844,0.000657246
sorry,1,3242,2844,0.000328623
put,0,3242,2844,0.000164312
wash,0,3242,2844,0.000164312
kind,1,3242,2844,0.000328623
equivalent,0,3242,2844,0.000164312
blend,0,3242,2844,0.000164312
hear,3,3242,2844,0.000657246
still,10,3242,2844,0.001807427
alive,0,3242,2844,0.000164312
launder,0,3242,2844,0.000164312
finest,0,3242,2844,0.000164312
moment,1,3242,2844,0.000328623
dry,0,3242,2844,0.000164312
organic,0,3242,2844,0.000164312
rice,0,3242,2844,0.000164312
boot,2,3242,2844,0.000492935
system,4,3242,2844,0.000821558
smash,0,3242,2844,0.000164312
lock,0,3242,2844,0.000164312
open,13,3242,2844,0.002300361
unlock,0,3242,2844,0.000164312
word,6,3242,2844,0.001150181
sale,5,3242,2844,0.000985869
four,0,3242,2844,0.000164312
easter,0,3242,2844,0.000164312
egg,0,3242,2844,0.000164312
pull,0,3242,2844,0.000164312
middle,0,3242,2844,0.000164312
bottom,0,3242,2844,0.000164312
feature,1,3242,2844,0.000328623
simply,0,3242,2844,0.000164312
must,0,3242,2844,0.000164312
admit,1,3242,2844,0.000328623
camper,0,3242,2844,0.000164312
tone,0,3242,2844,0.000164312
ring,1,3242,2844,0.000328623
drake,0,3242,2844,0.000164312
receiv,1,3242,2844,0.000328623
ipod,0,3242,2844,0.000164312
wife,0,3242,2844,0.000164312
upgrad,1,3242,2844,0.000328623
alone,1,3242,2844,0.000328623
worth,0,3242,2844,0.000164312
continu,0,3242,2844,0.000164312
enhance,1,3242,2844,0.000328623
honor,0,3242,2844,0.000164312
truly,0,3242,2844,0.000164312
loss,0,3242,2844,0.000164312
