"Words","Features"
"apple","0"
"crack","1"
"ad","0"
"carrier","0"
"support","0"
"announc","0"
"hilariou","0"
"video","0"
"duet","0"
"pretty","4"
"much","8"
"sum","0"
"love","12"
"affair","0"
"made","1"
"easy","0"
"switch","1"
"realize","1"
"reason","1"
"twitter","455"
"thank","8"
"current","1"
"blackberry","1"
"user","1"
"little","3"
"disappoint","0"
"move","1"
"android","5"
"strangest","0"
"thing","6"
"said","1"
"glad","2"
"gave","0"
"sense","1"
"humor","1"
"great","5"
"close","0"
"personal","1"
"event","0"
"tonight","3"
"regent","0"
"store","0"
"compani","0"
"experience","0"
"best","10"
"customer","0"
"service","0"
"aside","0"
"apply","0"
"hope","1"
"call","1"
"think","7"
"magical","0"
"dy","0"
"suggest","0"
"find","15"
"whore","1"
"hide","0"
"body","0"
"register","0"
"developer","0"
"actually","3"
"help","9"
"greatly","0"
"appreciate","1"
"deal","0"
"first","3"
"model","0"
"offer","0"
"refurbish","0"
"come","5"
"dark","3"
"side","3"
"send","3"
"free","10"
"publicly","0"
"ceremoniously","0"
"burn","0"
"version","0"
"locate","0"
"wipe","0"
"stolen","0"
"garden","0"
"replac","0"
"lunch","0"
"break","3"
"today","1"
"warranty","0"
"replace","0"
"bound","0"
"playbook","0"
"team","0"
"amaz","1"
"featur","0"
"education","1"
"sweet","0"
"want","4"
"done","2"
"right","1"
"useless","0"
"day","13"
"unexpect","0"
"workshop","0"
"Yesterday","0"
"awesome","3"
"amount","1"
"info","0"
"question","1"
"people","16"
"bitch","5"
"smartest","0"
"phone","9"
"ever","0"
"happy","4"
"point","2"
"mentor","0"
"triple","0"
"umber","0"
"well","4"
"mobile","0"
"device","0"
"talk","4"
"desktop","0"
"coach","0"
"bring","0"
"wish","1"
"sell","0"
"million","1"
"unit","0"
"weekend","0"
"job","0"
"brilliance","0"
"live","5"
"apologize","2"
"download","0"
"prove","0"
"popular","0"
"look","4"
"argument","1"
"incredible","0"
"better","9"
"save","2"
"unwant","0"
"seen","1"
"light","1"
"fix","1"
"battery","0"
"drain","0"
"problem","4"
"replacement","0"
"work","8"
"like","29"
"champ","0"
"currently","0"
"order","0"
"brand","1"
"Year","12"
"miss","5"
"time","10"
"bless","2"
"know","18"
"brother","0"
"girlfriend","1"
"least","2"
"wait","1"
"music","4"
"glass","0"
"debut","0"
"technology","3"
"unreal","0"
"update","11"
"another","2"
"mention","6"
"get","3"
"forward","1"
"stick","0"
"longer","1"
"pay","1"
"text","3"
"hate","2"
"computer","1"
"need","21"
"mack","0"
"flawless","0"
"cloud","0"
"totally","0"
"email","3"
"company","0"
"alway","2"
"upgrade","0"
"nice","2"
"tech","0"
"mall","0"
"faster","0"
"even","9"
"though","0"
"hubby","0"
"geek","0"
"make","16"
"thankful","0"
"go","5"
"beyond","0"
"sick","0"
"play","0"
"camera","0"
"Yeah","1"
"chang","3"
"life","7"
"safari","0"
"reader","0"
"own","0"
"worldwide","3"
"case","1"
"hand","0"
"walk","0"
"laid","0"
"next","0"
"last","1"
"us","4"
"disruption","0"
"lost","2"
"gig","0"
"keep","13"
"Yessss","0"
"especially","1"
"slide","0"
"screen","0"
"good","12"
"second","12"
"madness","0"
"invest","0"
"gear","0"
"sent","0"
"grandma","0"
"post","8"
"card","0"
"sorry","2"
"put","0"
"wash","0"
"kind","0"
"equivalent","0"
"blend","0"
"hear","0"
"still","8"
"alive","2"
"launder","0"
"finest","0"
"moment","2"
"dry","0"
"organic","0"
"rice","0"
"boot","0"
"system","0"
"smash","0"
"lock","3"
"open","0"
"unlock","0"
"word","4"
"sale","0"
"four","1"
"easter","0"
"egg","0"
"pull","2"
"middle","0"
"bottom","0"
"feature","0"
"simply","3"
"must","2"
"admit","0"
"camper","0"
"tone","0"
"ring","0"
"drake","0"
"receiv","0"
"ipod","0"
"wife","1"
"upgrad","0"
"alone","1"
"worth","2"
"continu","0"
"enhance","0"
"honor","0"
"truly","1"
"loss","0"
"geniu","0"
"notifi","1"
"arriv","0"
"local","1"
"office","0"
"deliver","0"
"sunday","0"
"magic","0"
"meet","0"
"butler","0"
"click","1"
"link","1"
"never","8"
"feel","5"
"worst","0"
"speaker","0"
"spoil","0"
"luck","0"
"surviv","0"
"addict","6"
"welcome","4"
"club","0"
"innovation","0"
"exhibit","0"
"instead","3"
"watch","4"
"game","2"
"sport","1"
"hiss","0"
"berry","0"
"power","1"
"guy","1"
"witchcraft","0"
"lead","0"
"notification","0"
"search","0"
"cover","0"
"mail","0"
"wifi","0"
"sync","0"
"backup","0"
"integrate","0"
"jame","0"
"stewart","0"
"story","1"
"importance","0"
"architecture","0"
"retail","0"
"success","0"
"world","6"
"impressive","1"
"metro","0"
"centre","0"
"cable","0"
"book","3"
"grati","0"
"show","7"
"hairline","0"
"happen","4"
"edge","0"
"taken","0"
"min","0"
"write","3"
"convert","0"
"grass","0"
"greener","0"
"backside","0"
"impress","0"
"space","0"
"creative","0"
"product","0"
"inspire","0"
"unbelievable","0"
"present","0"
"requir","0"
"finally","4"
"stupid","1"
"learn","1"
"lesson","0"
"absolutely","0"
"invent","0"
"parent","0"
"listen","0"
"create","1"
"folder","0"
"within","0"
"photo","1"
"album","0"
"thorn","0"
"workstation","0"
"di","0"
"month","2"
"long","3"
"hello","2"
"really","11"
"throw","1"
"trash","1"
