Words,Features,# of words in twitter,# of unique words in all documents,Condition prob of given word in twitter
apple,0,2145,2844,0.000200441
crack,1,2145,2844,0.000400882
ad,0,2145,2844,0.000200441
carrier,0,2145,2844,0.000200441
support,0,2145,2844,0.000200441
announc,0,2145,2844,0.000200441
hilariou,0,2145,2844,0.000200441
video,0,2145,2844,0.000200441
duet,0,2145,2844,0.000200441
pretty,4,2145,2844,0.001002205
much,8,2145,2844,0.001803969
sum,0,2145,2844,0.000200441
love,12,2145,2844,0.002605733
affair,0,2145,2844,0.000200441
made,1,2145,2844,0.000400882
easy,0,2145,2844,0.000200441
switch,1,2145,2844,0.000400882
realize,1,2145,2844,0.000400882
reason,1,2145,2844,0.000400882
twitter,455,2145,2844,0.091401082
thank,8,2145,2844,0.001803969
current,1,2145,2844,0.000400882
blackberry,1,2145,2844,0.000400882
user,1,2145,2844,0.000400882
little,3,2145,2844,0.000801764
disappoint,0,2145,2844,0.000200441
move,1,2145,2844,0.000400882
android,5,2145,2844,0.001202646
strangest,0,2145,2844,0.000200441
thing,6,2145,2844,0.001403087
said,1,2145,2844,0.000400882
glad,2,2145,2844,0.000601323
gave,0,2145,2844,0.000200441
sense,1,2145,2844,0.000400882
humor,1,2145,2844,0.000400882
great,5,2145,2844,0.001202646
close,0,2145,2844,0.000200441
personal,1,2145,2844,0.000400882
event,0,2145,2844,0.000200441
tonight,3,2145,2844,0.000801764
regent,0,2145,2844,0.000200441
store,0,2145,2844,0.000200441
compani,0,2145,2844,0.000200441
experience,0,2145,2844,0.000200441
best,10,2145,2844,0.002204851
customer,0,2145,2844,0.000200441
service,0,2145,2844,0.000200441
aside,0,2145,2844,0.000200441
apply,0,2145,2844,0.000200441
hope,1,2145,2844,0.000400882
call,1,2145,2844,0.000400882
think,7,2145,2844,0.001603528
magical,0,2145,2844,0.000200441
dy,0,2145,2844,0.000200441
suggest,0,2145,2844,0.000200441
find,15,2145,2844,0.003207056
whore,1,2145,2844,0.000400882
hide,0,2145,2844,0.000200441
body,0,2145,2844,0.000200441
register,0,2145,2844,0.000200441
developer,0,2145,2844,0.000200441
actually,3,2145,2844,0.000801764
help,9,2145,2844,0.00200441
greatly,0,2145,2844,0.000200441
appreciate,1,2145,2844,0.000400882
deal,0,2145,2844,0.000200441
first,3,2145,2844,0.000801764
model,0,2145,2844,0.000200441
offer,0,2145,2844,0.000200441
refurbish,0,2145,2844,0.000200441
come,5,2145,2844,0.001202646
dark,3,2145,2844,0.000801764
side,3,2145,2844,0.000801764
send,3,2145,2844,0.000801764
free,10,2145,2844,0.002204851
publicly,0,2145,2844,0.000200441
ceremoniously,0,2145,2844,0.000200441
burn,0,2145,2844,0.000200441
version,0,2145,2844,0.000200441
locate,0,2145,2844,0.000200441
wipe,0,2145,2844,0.000200441
stolen,0,2145,2844,0.000200441
garden,0,2145,2844,0.000200441
replac,0,2145,2844,0.000200441
lunch,0,2145,2844,0.000200441
break,3,2145,2844,0.000801764
today,1,2145,2844,0.000400882
warranty,0,2145,2844,0.000200441
replace,0,2145,2844,0.000200441
bound,0,2145,2844,0.000200441
playbook,0,2145,2844,0.000200441
team,0,2145,2844,0.000200441
amaz,1,2145,2844,0.000400882
featur,0,2145,2844,0.000200441
education,1,2145,2844,0.000400882
sweet,0,2145,2844,0.000200441
want,4,2145,2844,0.001002205
done,2,2145,2844,0.000601323
right,1,2145,2844,0.000400882
useless,0,2145,2844,0.000200441
